Broker    Stock          Value     Changes   Date and Time
Broker 2        Banking        101       5         9/23/2024 9:14:44 PM
Broker 3        Banking        101       5         9/23/2024 9:14:44 PM
Broker 4        Banking        101       5         9/23/2024 9:14:44 PM
Broker 2        Banking        104       6         9/23/2024 9:14:44 PM
Broker 3        Banking        104       6         9/23/2024 9:14:44 PM
Broker 4        Banking        104       6         9/23/2024 9:14:44 PM
Broker 1        Retail         37        7         9/23/2024 9:14:45 PM
Broker 4        Commodity      563       7         9/23/2024 9:14:45 PM
Broker 4        Retail         37        7         9/23/2024 9:14:45 PM
Broker 2        Banking        105       7         9/23/2024 9:14:45 PM
Broker 3        Banking        105       7         9/23/2024 9:14:45 PM
Broker 4        Banking        105       7         9/23/2024 9:14:45 PM
Broker 1        Technology     176       8         9/23/2024 9:14:45 PM
Broker 2        Technology     176       8         9/23/2024 9:14:45 PM
Broker 3        Technology     176       8         9/23/2024 9:14:45 PM
Broker 4        Technology     176       8         9/23/2024 9:14:45 PM
Broker 1        Retail         38        8         9/23/2024 9:14:45 PM
Broker 4        Commodity      580       8         9/23/2024 9:14:45 PM
Broker 2        Banking        108       8         9/23/2024 9:14:45 PM
Broker 3        Banking        108       8         9/23/2024 9:14:45 PM
Broker 4        Banking        108       8         9/23/2024 9:14:45 PM
Broker 1        Technology     177       9         9/23/2024 9:14:46 PM
Broker 2        Technology     177       9         9/23/2024 9:14:46 PM
Broker 3        Technology     177       9         9/23/2024 9:14:46 PM
Broker 4        Technology     177       9         9/23/2024 9:14:46 PM
Broker 1        Retail         39        9         9/23/2024 9:14:46 PM
Broker 4        Retail         39        9         9/23/2024 9:14:46 PM
Broker 2        Banking        109       9         9/23/2024 9:14:46 PM
Broker 3        Banking        109       9         9/23/2024 9:14:46 PM
Broker 4        Banking        109       9         9/23/2024 9:14:46 PM
Broker 1        Technology     180       10        9/23/2024 9:14:46 PM
Broker 2        Technology     180       10        9/23/2024 9:14:46 PM
Broker 2        Commodity      594       10        9/23/2024 9:14:46 PM
Broker 3        Technology     180       10        9/23/2024 9:14:46 PM
Broker 4        Retail         40        10        9/23/2024 9:14:46 PM
Broker 4        Technology     180       10        9/23/2024 9:14:46 PM
Broker 2        Banking        111       10        9/23/2024 9:14:46 PM
Broker 3        Banking        111       10        9/23/2024 9:14:46 PM
Broker 4        Banking        111       10        9/23/2024 9:14:46 PM
Broker 2        Commodity      610       11        9/23/2024 9:14:47 PM
Broker 1        Retail         41        11        9/23/2024 9:14:47 PM
Broker 4        Commodity      610       11        9/23/2024 9:14:47 PM
Broker 2        Technology     183       11        9/23/2024 9:14:47 PM
Broker 4        Retail         41        11        9/23/2024 9:14:47 PM
Broker 3        Technology     183       11        9/23/2024 9:14:47 PM
Broker 4        Technology     183       11        9/23/2024 9:14:47 PM
Broker 2        Banking        112       11        9/23/2024 9:14:47 PM
Broker 3        Banking        112       11        9/23/2024 9:14:47 PM
Broker 4        Banking        112       11        9/23/2024 9:14:47 PM
Broker 2        Commodity      619       12        9/23/2024 9:14:47 PM
Broker 1        Technology     185       12        9/23/2024 9:14:47 PM
Broker 1        Retail         42        12        9/23/2024 9:14:47 PM
Broker 4        Commodity      619       12        9/23/2024 9:14:47 PM
Broker 2        Technology     185       12        9/23/2024 9:14:47 PM
Broker 3        Technology     185       12        9/23/2024 9:14:47 PM
Broker 4        Technology     185       12        9/23/2024 9:14:47 PM
Broker 2        Banking        113       12        9/23/2024 9:14:47 PM
Broker 3        Banking        113       12        9/23/2024 9:14:47 PM
Broker 4        Banking        113       12        9/23/2024 9:14:47 PM
Broker 1        Technology     187       13        9/23/2024 9:14:48 PM
Broker 2        Commodity      636       13        9/23/2024 9:14:48 PM
Broker 2        Technology     187       13        9/23/2024 9:14:48 PM
Broker 4        Retail         43        13        9/23/2024 9:14:48 PM
Broker 4        Commodity      636       13        9/23/2024 9:14:48 PM
Broker 3        Technology     187       13        9/23/2024 9:14:48 PM
Broker 4        Technology     187       13        9/23/2024 9:14:48 PM
Broker 2        Banking        116       13        9/23/2024 9:14:48 PM
Broker 3        Banking        116       13        9/23/2024 9:14:48 PM
Broker 4        Banking        116       13        9/23/2024 9:14:48 PM
Broker 1        Technology     189       14        9/23/2024 9:14:48 PM
Broker 1        Retail         44        14        9/23/2024 9:14:48 PM
Broker 2        Commodity      653       14        9/23/2024 9:14:48 PM
Broker 2        Technology     189       14        9/23/2024 9:14:48 PM
Broker 4        Retail         44        14        9/23/2024 9:14:48 PM
Broker 4        Commodity      653       14        9/23/2024 9:14:48 PM
Broker 3        Technology     189       14        9/23/2024 9:14:48 PM
Broker 4        Technology     189       14        9/23/2024 9:14:48 PM
Broker 2        Banking        119       14        9/23/2024 9:14:48 PM
Broker 3        Banking        119       14        9/23/2024 9:14:48 PM
Broker 4        Banking        119       14        9/23/2024 9:14:48 PM
Broker 1        Retail         45        15        9/23/2024 9:14:49 PM
Broker 1        Technology     192       15        9/23/2024 9:14:49 PM
Broker 4        Commodity      665       15        9/23/2024 9:14:49 PM
Broker 2        Technology     192       15        9/23/2024 9:14:49 PM
Broker 4        Retail         45        15        9/23/2024 9:14:49 PM
Broker 3        Technology     192       15        9/23/2024 9:14:49 PM
Broker 4        Technology     192       15        9/23/2024 9:14:49 PM
Broker 2        Banking        120       15        9/23/2024 9:14:49 PM
Broker 3        Banking        120       15        9/23/2024 9:14:49 PM
Broker 4        Banking        120       15        9/23/2024 9:14:49 PM
Broker 1        Technology     194       16        9/23/2024 9:14:49 PM
Broker 1        Retail         46        16        9/23/2024 9:14:49 PM
Broker 4        Commodity      666       16        9/23/2024 9:14:49 PM
Broker 4        Retail         46        16        9/23/2024 9:14:49 PM
Broker 3        Technology     194       16        9/23/2024 9:14:49 PM
Broker 4        Technology     194       16        9/23/2024 9:14:49 PM
Broker 2        Banking        121       16        9/23/2024 9:14:49 PM
Broker 3        Banking        121       16        9/23/2024 9:14:49 PM
Broker 4        Banking        121       16        9/23/2024 9:14:49 PM
Broker 2        Commodity      684       17        9/23/2024 9:14:50 PM
Broker 1        Technology     195       17        9/23/2024 9:14:50 PM
Broker 1        Retail         47        17        9/23/2024 9:14:50 PM
Broker 4        Commodity      684       17        9/23/2024 9:14:50 PM
Broker 2        Technology     195       17        9/23/2024 9:14:50 PM
Broker 4        Retail         47        17        9/23/2024 9:14:50 PM
Broker 2        Banking        123       17        9/23/2024 9:14:50 PM
Broker 3        Technology     195       17        9/23/2024 9:14:50 PM
Broker 4        Technology     195       17        9/23/2024 9:14:50 PM
Broker 3        Banking        123       17        9/23/2024 9:14:50 PM
Broker 4        Banking        123       17        9/23/2024 9:14:50 PM
Broker 1        Technology     197       18        9/23/2024 9:14:50 PM
Broker 1        Retail         48        18        9/23/2024 9:14:50 PM
Broker 2        Banking        124       18        9/23/2024 9:14:50 PM
Broker 2        Commodity      690       18        9/23/2024 9:14:50 PM
Broker 2        Technology     197       18        9/23/2024 9:14:50 PM
Broker 3        Banking        124       18        9/23/2024 9:14:50 PM
Broker 4        Retail         48        18        9/23/2024 9:14:50 PM
Broker 3        Technology     197       18        9/23/2024 9:14:50 PM
Broker 4        Commodity      690       18        9/23/2024 9:14:50 PM
Broker 4        Banking        124       18        9/23/2024 9:14:50 PM
